atome_1,atome_2,distance,icohp-up,icohp-down
Mn43,O69,1.92341,-1.19907,-1.50851
Mn53,O72,1.9179,-1.20974,-1.52027
Ni57,O61,2.02071,-0.51357,-0.87953
Li4,O86,2.07765,-0.41909,-0.40954
Mn51,O80,25.91096,-1e-05,-2e-05
Mn46,O106,1.92024,-1.20729,-1.51862
Mn46,O86,1.94833,-1.13482,-1.41479
Li5,O98,2.07783,-0.42022,-0.4077
Li4,O67,8.32279,-0.00033,-0.00023
Mn47,O67,1.93032,-1.18373,-1.48006
Li2,O104,2.05436,-0.43632,-0.42575
Mn43,O88,8.53234,-0.00036,-0.00036
Mn47,O117,1.94977,-1.13756,-1.40257
Mn37,O63,1.94007,-1.16016,-1.43656
Ni60,O100,2.01715,-0.51707,-0.8812
Mn51,O91,10.91151,-0.0001,-0.00013
Mn41,O67,1.92793,-1.18478,-1.48663
Ni60,O87,2.10283,-0.45826,-0.70429
Li4,O97,11.09984,-0.00011,-0.00011
Mn44,O108,1.93571,-1.1675,-1.46065
Mn54,O81,1.94186,-1.15705,-1.42891
Ni60,O117,2.11376,-0.44861,-0.68866
Mn44,O98,1.9479,-1.13665,-1.41953
Ni56,O100,2.07757,-0.47257,-0.77384
Mn44,O78,1.93218,-1.16933,-1.47589
Li3,O83,2.04226,-0.45457,-0.45288
Mn38,O72,1.92235,-1.2148,-1.51338
Li5,O68,2.07795,-0.41844,-0.40661
Li1,O80,23.45198,-0.0,-1e-05
Mn54,O104,1.91759,-1.21747,-1.55504
Mn54,O71,1.96022,-1.11066,-1.37046
Mn49,O119,1.95001,-1.1574,-1.39953
Mn40,O66,1.95008,-1.13621,-1.3881
Mn44,O118,1.91878,-1.21057,-1.52255
Mn50,O78,1.94217,-1.15648,-1.41615
Mn39,O113,1.93374,-1.16002,-1.51772
Li4,O76,2.07862,-0.41954,-0.40711
Li6,O69,2.07329,-0.42152,-0.40658
Li6,O78,8.34003,-0.00035,-0.00029
Ni56,O110,2.08526,-0.46934,-0.7642
Mn49,O100,1.95666,-1.10737,-1.4197
Mn51,O90,23.45293,-1e-05,-0.0
Mn52,O79,25.96574,-0.0,-1e-05
Mn40,O83,1.9314,-1.15868,-1.52721
Mn41,O75,1.93179,-1.18037,-1.47661
Mn48,O108,1.95142,-1.12252,-1.39031
Li6,O99,2.02122,-0.45897,-0.4566
Ni56,O89,2.05148,-0.46688,-0.76951
Li2,O93,8.34891,-0.00029,-0.00026
Mn43,O107,1.96103,-1.09532,-1.36948
Mn43,O77,1.96029,-1.10965,-1.36078
Mn44,O87,1.96304,-1.10004,-1.3518
Li6,O109,2.0255,-0.45781,-0.45477
Ni59,O74,2.06891,-0.45944,-0.75276
Mn38,O102,1.92668,-1.19245,-1.50412
