atome_1,atome_2,distance,icohp-up,icohp-down
Li35,O64,2.04417,-0.4544,-0.44864
Ni57,O112,1.88809,-1.09166,-1.09284
Mn37,O96,1.9274,-1.50411,-1.21552
Mn40,O90,1.93381,-1.16034,-1.42931
Li4,O100,2.03576,-0.444,-0.43387
Ni55,O114,2.0859,-0.45696,-0.74318
Ni57,O82,1.89539,-1.06411,-1.09391
Ni52,O76,2.05228,-0.74461,-0.82575
Ni49,O116,2.09948,-0.4328,-0.72496
Ni52,O118,1.91607,-0.97206,-1.07761
Mn44,O108,1.91265,-1.23822,-1.53673
Ni50,O88,8.48696,-0.00019,-0.00023
Mn44,O98,1.90581,-1.2834,-1.59646
Li4,O110,2.09871,-0.41904,-0.40578
Ni50,O107,2.01439,-0.60382,-0.88224
Ni53,O88,11.05201,-0.00014,-0.00022
Ni58,O81,1.90432,-1.00271,-1.07691
Li2,O98,2.07764,-0.42427,-0.41437
Mn39,O69,1.94156,-1.16155,-1.43427
Li35,O72,2.05314,-0.42319,-0.41426
Mn43,O86,10.84942,-0.00017,-0.00022
Mn45,O100,1.96654,-1.07749,-1.3359
Mn48,O114,1.96072,-1.10987,-1.35407
Ni55,O83,2.06581,-0.46179,-0.81027
Li35,O102,2.10803,-0.40067,-0.39637
Ni60,O96,2.07715,-0.42604,-0.89804
Mn40,O110,1.97189,-1.0596,-1.2948
Ni54,O71,2.00887,-0.51839,-0.91936
Ni58,O111,1.90232,-0.93382,-1.09517
Ni52,O108,1.92492,-0.84279,-1.04797
Ni56,O91,8.44732,-0.00026,-0.00023
Li1,O67,2.07943,-0.43184,-0.4162
Li4,O62,23.1893,-0.0,-1e-05
Li1,O86,8.24762,-0.00026,-0.00032
Mn38,O106,1.95639,-1.41391,-1.15724
Li35,O81,2.08248,-0.45657,-0.44618
Ni53,O69,1.98271,-0.71084,-0.92838
Ni55,O94,2.03933,-0.48769,-0.83799
Ni51,O107,1.97031,-0.75053,-0.95134
Li1,O115,2.01413,-0.43841,-0.43983
Ni60,O83,2.09059,-0.41305,-0.87478
Mn39,O77,1.96481,-1.10141,-1.33194
Ni58,O64,2.06538,-0.43086,-0.801
Ni51,O75,2.03556,-0.49842,-0.85716
Ni50,O77,2.04328,-0.51243,-0.81309
Mn46,O79,23.41184,-0.0,-0.0
Li3,O99,2.02873,-0.43813,-0.43688
Li2,O70,2.11292,-0.39497,-0.37815
Ni57,O63,8.45866,-0.00049,-0.00045
Mn43,O107,1.91676,-1.24009,-1.51636
Mn44,O68,1.95729,-1.13297,-1.39896
Ni50,O117,1.98794,-0.77302,-0.93463
Ni51,O67,1.90392,-0.99952,-1.08084
Mn41,O91,20.26384,-0.0,-1e-05
Ni59,O74,8.43763,-0.00042,-0.00044
Mn48,O64,1.8806,-1.29633,-1.74494
Mn41,O90,1.89304,-1.28123,-1.62176
Li3,O109,2.04109,-0.45162,-0.44883
Ni52,O68,1.99992,-0.57769,-0.92063
Ni56,O112,1.87079,-1.11812,-1.13961
Ni49,O106,2.09835,-0.46461,-0.7867
Ni59,O95,1.91199,-1.00762,-1.05132
Ni54,O101,2.0593,-0.49083,-0.77787
Mn45,O87,1.92113,-1.22752,-1.53541
Mn46,O101,1.96249,-1.11527,-1.35277
Ni54,O91,2.05451,-0.49666,-0.79217
Mn37,O73,1.95611,-1.42585,-1.1316
Ni52,O97,8.30449,-0.00012,-0.00013
Mn46,O111,1.94357,-1.14385,-1.42475
Mn42,O79,25.92841,-1e-05,-0.0
Li36,O84,8.23346,-0.00029,-0.00031
Li3,O90,8.25535,-0.0004,-0.00038
Mn41,O101,20.5333,-1e-05,-0.0
Mn39,O109,1.92226,-1.20399,-1.52833
Li36,O113,2.05067,-0.44026,-0.45242
Ni58,O71,2.11947,-0.41217,-0.75798
Mn40,O99,8.53751,-0.00044,-0.0005
Ni49,O76,2.03511,-0.52573,-0.82362
Mn38,O116,1.94876,-1.41539,-1.14569
Mn38,O66,1.94309,-1.43142,-1.19039
Li2,O118,2.05865,-0.44413,-0.44246
Mn46,O81,1.91427,-1.20622,-1.55402
Ni57,O103,9.28398,-0.00012,-5e-05
Mn44,O85,1.97845,-1.04895,-1.28184
Mn43,O116,9.44683,-5e-05,-8e-05
Mn47,O113,1.93974,-1.49965,-1.18066
Ni52,O88,2.0073,-0.58809,-0.92483
Ni57,O72,1.87421,-1.12259,-1.10032
Li36,O103,2.07348,-0.39863,-0.40973
Mn40,O70,1.92906,-1.17309,-1.45852
Mn46,O92,1.93331,-1.16752,-1.45353
Ni60,O73,1.92526,-0.56813,-1.20267
Mn43,O76,8.42978,-0.00059,-0.00064
Li1,O75,2.02977,-0.44631,-0.43507
Ni55,O104,2.05879,-0.47553,-0.77981
Mn47,O71,1.92089,-1.52773,-1.19379
Mn48,O72,1.93128,-1.17894,-1.46389
Ni53,O99,2.05529,-0.48943,-0.80464
Ni56,O102,1.87311,-1.13389,-1.12604
Mn42,O119,24.16339,-0.0,-2e-05
Li1,O105,2.09317,-0.40157,-0.41449
Mn41,O120,1.89281,-1.28195,-1.63195
Ni56,O62,1.87177,-1.1396,-1.12512
Li2,O78,2.08501,-0.42359,-0.4178
Mn42,O92,1.94498,-1.12801,-1.40467
Li35,O112,2.0442,-0.41362,-0.42166
Mn40,O120,1.97991,-1.0441,-1.26345
Ni59,O105,1.85809,-1.15528,-1.17951
Mn39,O89,1.9151,-1.21077,-1.52511
Ni49,O96,2.038,-0.48779,-0.86143
Mn44,O75,1.89902,-1.24933,-1.62902
Ni56,O80,23.42402,-0.0,-0.0
Mn37,O85,1.93521,-1.45734,-1.16695
Li36,O65,2.11119,-0.40206,-0.41632
Ni54,O63,2.04918,-0.46028,-0.82692
Mn37,O115,1.93551,-1.45531,-1.13677
Mn39,O100,1.94946,-1.11562,-1.39712
Li3,O79,2.12016,-0.41064,-0.3982
Ni51,O98,1.92935,-0.84668,-1.03958
Mn43,O97,1.92708,-1.1973,-1.47741
Mn37,O65,1.93137,-1.46645,-1.17442
Ni59,O84,10.81843,-0.00012,-0.00017
Mn38,O95,8.44479,-0.00049,-0.00054
Mn39,O119,1.9221,-1.21346,-1.50981
Mn40,O78,1.90211,-1.282,-1.6227
Ni49,O85,2.05726,-0.46139,-0.79803
Ni53,O109,1.90999,-1.00493,-1.06875
Mn37,O105,1.94523,-1.40711,-1.13522
Ni54,O111,2.07073,-0.49026,-0.78332
Mn48,O104,1.96378,-1.13466,-1.36903
Li36,O73,2.04184,-0.44591,-0.45893
Mn47,O63,1.95583,-1.35085,-1.12517
Ni59,O65,1.86737,-1.1389,-1.16269
Mn45,O110,1.91624,-1.20864,-1.53582
Li3,O61,23.17865,-0.0,-0.0
Li1,O95,2.1089,-0.3978,-0.41288
Mn46,O61,1.93353,-1.15919,-1.45617
Li4,O80,2.06291,-0.42709,-0.42305
Ni53,O118,9.44494,-1e-05,-1e-05
Ni51,O87,1.90503,-1.01313,-1.08084
Mn45,O117,1.93355,-1.17106,-1.46153
Ni60,O106,1.91259,-0.62194,-1.13211
Mn38,O86,1.92622,-1.50912,-1.1566
Li3,O119,2.11187,-0.40191,-0.38759
Ni54,O82,8.24283,-9e-05,-0.00014
Ni55,O74,2.04759,-0.47931,-0.82356
Ni60,O66,1.94584,-0.57943,-1.17281
Li2,O87,2.07814,-0.4188,-0.41137
Ni56,O82,1.88286,-1.08703,-1.11802
Mn45,O70,1.9131,-1.23086,-1.54099
Mn38,O74,1.94739,-1.4054,-1.16387
Li2,O108,2.06875,-0.42618,-0.41737
Ni58,O104,1.91519,-0.92218,-1.07904
Mn47,O94,1.96637,-1.3533,-1.11966
Li4,O89,2.09241,-0.42323,-0.40764
Li4,O120,2.03393,-0.44337,-0.43175
Ni50,O69,2.01388,-0.61051,-0.89233
Ni58,O94,1.92323,-0.93375,-1.08356
Ni60,O113,1.89173,-0.61333,-1.18626
Ni55,O66,2.05317,-0.49377,-0.84071
Mn47,O83,1.88211,-1.65851,-1.32357
Ni57,O93,10.91547,-6e-05,-0.0001
Mn43,O67,1.91064,-1.21975,-1.54386
Mn47,O103,1.91706,-1.49739,-1.19769
Ni49,O68,2.05871,-0.48503,-0.79259
Ni50,O97,2.0089,-0.55007,-0.89826
Ni59,O114,9.41579,-1e-05,-1e-05
Mn42,O62,1.92731,-1.17749,-1.4873
Mn48,O84,1.96027,-1.08178,-1.35667
Mn44,O115,1.93238,-1.13322,-1.4532
